method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,metric,baseline_mean,recovery_mean
sac_her_recovery_v4_hx6,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0,0.026666666666666727,0.109375,paired_mcnemar,0.6015625,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.09555555555555556,0.011111111111111113,-0.02444444444444445,0.04672222222222142,0.6353076420876663,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.12,0.015555555555555545,-0.024444444444444435,0.05777777777777776,0.5202915935750735,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.24222222222222223,-0.0222222222222222,-0.0777777777777778,0.03555555555555556,0.49516885828843854,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.18222222222222223,-0.015555555555555545,-0.03555555555555556,0.004444444444444445,0.21003961563110352,paired_mcnemar,0.9241743087768555,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v2,sac_her,clean,450,450,,,0.0022222222222222222,0.0,0.006666666666666667,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0022222222222222222
sac_her_recovery_v2,sac_her,sensor_dropout,450,450,,,0.0022222222222222222,0.0,0.006666666666666667,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0022222222222222222
sac_her_recovery_v2,sac_her,sensor_bias,450,450,,,0.07555555555555556,0.04666666666666667,0.10444444444444445,6.240408438884516e-07,paired_mcnemar,4.576299521848645e-06,True,safety_violation,0.02,0.09555555555555556
sac_her_recovery_v2,sac_her,action_clipping,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v2,sac_her,action_delay,450,450,,,0.057777777777777775,0.035555555555555556,0.08,2.1606683731079102e-07,paired_mcnemar,1.9013881683349609e-06,True,safety_violation,0.0022222222222222222,0.06
sac_her_recovery_v2,sac_her,action_reversal,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v2,sac_her,goal_spoof_immediate,450,450,,,0.011111111111111112,0.0,0.022222222222222223,0.125,paired_mcnemar,0.4583333333333333,False,safety_violation,0.0022222222222222222,0.013333333333333334
sac_her_recovery_v2,sac_her,goal_spoof_midep,450,450,,,0.006666666666666667,0.0,0.015555555555555555,0.25,paired_mcnemar,0.8461538461538461,False,safety_violation,0.0,0.006666666666666667
sac_her_recovery_v2,sac_her,object_pose_spoof,450,450,,,0.015555555555555555,0.0044444444444444444,0.028888888888888888,0.015625,paired_mcnemar,0.0763888888888889,False,safety_violation,0.0,0.015555555555555555
sac_her_recovery_v2,sac_her,grip_state_falsification,450,450,,,0.08666666666666667,0.06,0.11555555555555555,2.1532287064474076e-10,paired_mcnemar,3.158068769456198e-09,True,safety_violation,0.0044444444444444444,0.09111111111111111
sac_her_recovery_v2,sac_her,contact_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v3,sac_her,clean,450,450,,,0.0044444444444444444,0.0,0.011111111111111112,0.5,paired_mcnemar,1.0,False,safety_violation,0.0,0.0044444444444444444
sac_her_recovery_v3,sac_her,sensor_dropout,450,450,,,0.0022222222222222222,0.0,0.006666666666666667,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0022222222222222222
sac_her_recovery_v3,sac_her,sensor_bias,450,450,,,0.10888888888888888,0.07777777777777778,0.14222222222222222,5.380614009897755e-11,paired_mcnemar,1.1837350821775061e-09,True,safety_violation,0.02,0.1288888888888889
sac_her_recovery_v3,sac_her,action_clipping,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v3,sac_her,action_delay,450,450,,,0.07333333333333333,0.04888888888888889,0.09777777777777778,2.0954757928848267e-09,paired_mcnemar,2.3050233721733093e-08,True,safety_violation,0.0022222222222222222,0.07555555555555556
sac_her_recovery_v3,sac_her,action_reversal,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v3,sac_her,goal_spoof_immediate,450,450,,,0.013333333333333332,0.0022222222222222222,0.026666666666666665,0.0703125,paired_mcnemar,0.28125,False,safety_violation,0.0022222222222222222,0.015555555555555555
sac_her_recovery_v3,sac_her,goal_spoof_midep,450,450,,,0.0044444444444444444,0.0,0.011111111111111112,0.5,paired_mcnemar,1.0,False,safety_violation,0.0,0.0044444444444444444
sac_her_recovery_v3,sac_her,object_pose_spoof,450,450,,,0.017777777777777778,0.006666666666666667,0.03111111111111111,0.0078125,paired_mcnemar,0.04296875,True,safety_violation,0.0,0.017777777777777778
sac_her_recovery_v3,sac_her,grip_state_falsification,450,450,,,0.19111111111111112,0.15333333333333335,0.2288888888888889,6.617444900424222e-24,paired_mcnemar,2.9116757561866574e-22,True,safety_violation,0.0044444444444444444,0.19555555555555557
sac_her_recovery_v3,sac_her,contact_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,clean,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,sensor_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,sensor_bias,450,450,,,-0.015555555555555555,-0.03111111111111111,-0.0022222222222222227,0.0654296875,paired_mcnemar,0.28125,False,safety_violation,0.02,0.0044444444444444444
sac_her_recovery_v4,sac_her,action_clipping,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,action_delay,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0022222222222222222,0.0022222222222222222
sac_her_recovery_v4,sac_her,action_reversal,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,goal_spoof_immediate,450,450,,,-0.0022222222222222222,-0.006666666666666667,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0022222222222222222,0.0
sac_her_recovery_v4,sac_her,goal_spoof_midep,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,object_pose_spoof,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4,sac_her,grip_state_falsification,450,450,,,-0.0044444444444444444,-0.011111111111111112,0.0,0.5,paired_mcnemar,1.0,False,safety_violation,0.0044444444444444444,0.0
sac_her_recovery_v4,sac_her,contact_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,clean,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,sensor_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,sensor_bias,450,450,,,-0.02,-0.03333333333333333,-0.008888888888888889,0.00390625,paired_mcnemar,0.024553571428571428,True,safety_violation,0.02,0.0
sac_her_recovery_v4_hx6,sac_her,action_clipping,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,action_delay,450,450,,,0.0022222222222222222,0.0,0.006666666666666667,1.0,paired_mcnemar,1.0,False,safety_violation,0.0022222222222222222,0.0044444444444444444
sac_her_recovery_v4_hx6,sac_her,action_reversal,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,goal_spoof_immediate,450,450,,,-0.0022222222222222222,-0.006666666666666667,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0022222222222222222,0.0
sac_her_recovery_v4_hx6,sac_her,goal_spoof_midep,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,object_pose_spoof,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
sac_her_recovery_v4_hx6,sac_her,grip_state_falsification,450,450,,,-0.0022222222222222222,-0.006666666666666667,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0044444444444444444,0.0022222222222222222
sac_her_recovery_v4_hx6,sac_her,contact_dropout,450,450,,,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,safety_violation,0.0,0.0
