method,baseline_method,condition,metric,n_baseline,n_recovery,baseline_mean,recovery_mean,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v3,sac_her,action_reversal,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v3,sac_her,goal_spoof_immediate,completion_time_overhead,38,55,14.0,11.654545454545454,-2.3454545454545457,-9.07852870813397,2.6125837320574137,0.9064218122798415,unpaired_mannwhitney,1.0,False
sac_her_recovery_v3,sac_her,goal_spoof_midep,completion_time_overhead,47,56,8.72340425531915,10.035714285714286,1.3123100303951372,-0.7455642097264441,3.506525455927052,0.6298087857302588,unpaired_mannwhitney,1.0,False
sac_her_recovery_v3,sac_her,object_pose_spoof,completion_time_overhead,119,103,10.571428571428571,12.737864077669903,2.1664355062413314,-0.6592722525903565,5.671730439748713,0.579932963688274,unpaired_mannwhitney,1.0,False
sac_her_recovery_v3,sac_her,grip_state_falsification,completion_time_overhead,89,117,34.86516853932584,31.675213675213676,-3.189954864112167,-12.820508018822629,6.611437626044358,0.8297795038873694,unpaired_mannwhitney,1.0,False
sac_her_recovery_v3,sac_her,contact_dropout,completion_time_overhead,13,15,0.0,2.1333333333333333,2.1333333333333333,0.0,5.266666666666667,0.19734451392521157,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v4,sac_her,clean,completion_time_overhead,449,449,9.478841870824054,9.481069042316259,0.00222717149220486,0.0,0.006681514476614581,0.31731050786291415,paired_wilcoxon,0.9307774897312148,False
sac_her_recovery_v4,sac_her,sensor_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v4,sac_her,sensor_bias,completion_time_overhead,14,16,11.428571428571429,8.875,-2.553571428571429,-22.7859375,13.072767857142837,0.416226967643079,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,action_clipping,completion_time_overhead,445,445,31.453932584269662,31.696629213483146,0.24269662921348356,-1.5932584269662904,2.168539325842694,0.9289024639543302,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,action_delay,completion_time_overhead,416,422,14.742788461538462,14.66824644549763,-0.07454201604083188,-1.0148169773058697,0.8833846951330656,0.8927518194341909,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,action_reversal,completion_time_overhead,13,12,0.0,0.0,0.0,0.0,0.0,1.0,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,goal_spoof_immediate,completion_time_overhead,38,46,14.0,12.478260869565217,-1.5217391304347831,-8.524141876430205,3.4096681922196788,0.42249750399725106,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,goal_spoof_midep,completion_time_overhead,47,47,8.72340425531915,9.297872340425531,0.5744680851063819,-1.021808510638299,2.1063829787234045,0.8522369074919538,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4,sac_her,object_pose_spoof,completion_time_overhead,119,127,10.571428571428571,11.724409448818898,1.152980877390327,-0.609012108780521,2.898398729570569,0.17649491913099047,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v4,sac_her,grip_state_falsification,completion_time_overhead,89,63,34.86516853932584,18.92063492063492,-15.944533618690922,-25.97514713750669,-5.566318887105412,0.009692278979085577,unpaired_mannwhitney,0.10661506876994134,False
sac_her_recovery_v4,sac_her,contact_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v4_hx6,sac_her,clean,completion_time_overhead,449,450,9.478841870824054,9.517777777777777,0.038935906953723176,-0.4884506310319228,0.5731643157634253,0.926370292620605,unpaired_mannwhitney,1.0,False
sac_her_recovery_v4_hx6,sac_her,sensor_dropout,completion_time_overhead,13,13,0.0,0.0,0.0,0.0,0.0,1.0,paired_wilcoxon,1.0,False
sac_her_recovery_v4_hx6,sac_her,sensor_bias,completion_time_overhead,14,12,11.428571428571429,8.75,-2.678571428571429,-24.274107142857144,13.252083333333303,0.2232001371092761,unpaired_mannwhitney,0.9307774897312148,False
sac_her_recovery_v4_hx6,sac_her,action_clipping,completion_time_overhead,445,446,31.453932584269662,31.643497757847534,0.18956517357787206,-1.6236111251070684,2.0315969667959877,0.9184713612982817,unpaired_mannwhitney,1.0,False
