method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,harm_flag
sac_her_recovery_v4,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,action_clipping,450,450,0.9888888888888889,0.9888888888888889,0.0,-0.00666666666666671,0.006666666666666599,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.10444444444444445,0.0,-0.039999999999999994,0.039999999999999994,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,clean,450,450,0.9977777777777778,0.9977777777777778,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.08444444444444445,0.0,-0.035555555555555556,0.03333333333333334,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.10666666666666667,0.0022222222222222227,-0.03777777777777777,0.04222222222222222,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v2,sac_her,clean,450,150,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,0.5633775507261243,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v3,sac_her,object_pose_spoof,450,150,0.2644444444444444,0.26666666666666666,0.0022222222222222365,-0.07783333333333334,0.08444444444444446,0.9574077301095654,unpaired_bootstrap,1.0,False,False
sac_her_recovery_v4_hx,sac_her,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,-0.004444444444444473,0.008888888888888946,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx2,sac_her,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,False
sac_her_recovery_v4,sac_her,sensor_bias,450,450,0.03111111111111111,0.035555555555555556,0.004444444444444445,-0.00888888888888889,0.01777777777777778,0.75390625,paired_mcnemar,1.0,False,False
sac_her_recovery_v4_hx,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.09111111111111111,0.006666666666666668,-0.031111111111111117,0.04444444444444445,0.8198929037490488,paired_mcnemar,1.0,False,False
